mobile_name,processed_url
Vivo Y500 Pro,https://www.mobiledokan.co/product/vivo-y500-pro/
Xiaomi Pad Mini,https://www.mobiledokan.co/product/xiaomi-pad-mini/
Oppo A6 Pro 4G,https://www.mobiledokan.co/product/oppo-a6-pro/
Honor MagicPad 3 Pro,https://www.mobiledokan.co/product/honor-magicpad-3-pro/
Xiaomi 17 Pro,https://www.mobiledokan.co/product/xiaomi-17-pro/
Realme 15x (India),https://www.mobiledokan.co/product/realme-15x-india/
Vivo V60 Lite 4G,https://www.mobiledokan.co/product/vivo-v60-lite-4g/
Xiaomi Pad 8,https://www.mobiledokan.co/product/xiaomi-pad-8/
Xiaomi 15T Pro,https://www.mobiledokan.co/product/xiaomi-15t-pro/
Xiaomi Redmi Pad 2 Pro,https://www.mobiledokan.co/product/xiaomi-redmi-pad-2-pro/
Xiaomi 15T,https://www.mobiledokan.co/product/xiaomi-15t/
Xiaomi Pad 8 Pro,https://www.mobiledokan.co/product/xiaomi-pad-8-pro/
Honor X9d,https://www.mobiledokan.co/product/honor-x9d/
Symphony Max 60,https://www.mobiledokan.co/product/symphony-max-60/
Xiaomi 17 Fold,https://www.mobiledokan.co/product/xiaomi-17-fold/
Xiaomi 17,https://www.mobiledokan.co/product/xiaomi-17/
Honor X7d,https://www.mobiledokan.co/product/honor-x7d/
Xiaomi 17 Pro Max,https://www.mobiledokan.co/product/xiaomi-17-pro-max/
Vivo V60e,https://www.mobiledokan.co/product/vivo-v60e/
Vivo V60 Lite,https://www.mobiledokan.co/product/vivo-v60-lite/
Motorola Moto X70 Air,https://www.mobiledokan.co/product/motorola-moto-x70-air/
Huawei nova 14i,https://www.mobiledokan.co/product/huawei-nova-14i/
Doogee S200 Ultra,https://www.mobiledokan.co/product/doogee-s200-ultra/
Vivo X300 FE,https://www.mobiledokan.co/product/vivo-x300-fe/
Honor X5c Plus,https://www.mobiledokan.co/product/honor-x5c-plus/
Vivo V70 Lite,https://www.mobiledokan.co/product/vivo-v70-lite/
Samsung Galaxy M07,https://www.mobiledokan.co/product/samsung-galaxy-m07/
Xiaomi 17T Pro,https://www.mobiledokan.co/product/xiaomi-17t-pro/
Xiaomi 17T,https://www.mobiledokan.co/product/xiaomi-17t/
Itel A100C,https://www.mobiledokan.co/product/itel-a100c/
HMD Touch 4G,https://www.mobiledokan.co/product/hmd-touch-4g/
Itel A100,https://www.mobiledokan.co/product/itel-a100/
Oppo Reno15 Pro Max,https://www.mobiledokan.co/product/oppo-reno15-pro-max/
Itel TS Pro,https://www.mobiledokan.co/product/itel-ts-pro/
Samsung W26,https://www.mobiledokan.co/product/samsung-w26/
OnePlus 15R,https://www.mobiledokan.co/product/oneplus-15r/
Xiaomi Civi 6,https://www.mobiledokan.co/product/xiaomi-civi-6/
Xiaomi Mix Flip 3,https://www.mobiledokan.co/product/xiaomi-mix-flip-3/
Vivo X300 Pro,https://www.mobiledokan.co/product/vivo-x300-pro/
Tecno Spark 40,https://www.mobiledokan.co/product/tecno-spark-40/
Vivo Pad5e,https://www.mobiledokan.co/product/vivo-pad5e/
Vivo X300,https://www.mobiledokan.co/product/vivo-x300/
Vivo Watch GT 2,https://www.mobiledokan.co/product/vivo-watch-gt-2/
